,item,longitude,latitude
126,University Of Copenhagen,12.572327,55.6801502
127,University Of Rochester,-77.5882916,43.1576969
128,University Of Wurzburg,9.9559884,49.7962527
129,Peking Union Medical College,116.4096576,39.9116375
130,Ucsf Helen Diller Family Comprehensive Cancer Center,2.16667,7.25
131,University Of Barcelona,2.1635238,41.3868913
132,University Of Chinese Academy Of Sciences Cas,-7.61138,33.58831
133,University Of Edinburgh,-3.1883736,55.9440764
134,University Of Munster,7.5992433,51.9673422
135,University Of Sydney,151.1894337,-33.8889069
136,Albert Einstein College Of Medicine,-73.845722,40.8527766
137,James Cancer Hospital Solove Research Institute,-83.0196645,39.9949945
138,Oregon Health Science University,-122.6864957,45.4981929
139,Osaka University,-111.6792634,40.2755037
140,Tufts University,-71.1180073,42.4064913
141,University Of Basel,7.5752961,47.5612651
142,Huazhong University Of Science Technology,114.4078609,30.5154753
143,Medical University Of South Carolina,-79.9517058,32.7855386
144,Seattle Children S Hospital,-122.271267,47.5216
145,Shanghai Institutes For Biological Sciences Cas,-7.61138,33.58831
146,University Of Freiburg,7.157106,46.793058
147,University Of Helsinki,24.9491553,60.1710393
148,Utrecht University,5.1741064,52.0851623
149,Astrazeneca,2.3460397,51.0109641
150,Augusta University,-81.988562,33.4693345
151,Institut Pasteur Paris,2.3102394,48.8408378
152,Joslin Diabetes Center Inc,106.27306,38.46806
153,Karolinska University Hospital,18.0335814,59.3508628
154,Medical College Of Wisconsin,-88.0224532,43.0438671
155,Radboud University Nijmegen,5.8634034,51.8215172
156,Scripps Research Institute,-117.2428803,32.8984967
157,University Of Manchester,-2.2351187,53.4739625
158,Va Tennessee Valley Healthcare System,-86.8039453,36.141127
159,City Of Hope,-117.9732449,34.1276438
160,Princess Margaret Cancer Centre,11.83333,4.75
161,Sanford Burnham Prebys Medical Discovery Institute,-117.2419808,32.9011573
162,Tianjin Medical University,117.214082,39.0817969
163,Ulm University,114.586271,-3.2963061
164,Universite De Montpellier,3.8618177,43.6315655
165,University Of Queensland,153.0131696,-27.4974181
166,Zhejiang University,121.6329466,29.9091815
167,Eberhard Karls University Hospital,-81.98413,33.47063
168,German Centre For Cardiovascular Research,145.18333,-37.7
169,Lund University,13.2107587,55.7126504
170,Medical University Of Vienna,16.3477318,48.2189985
171,Peking University,116.303935,39.991715
172,Technische Universitat Dresden,13.7359828,51.0282765
173,Temple University,-75.1562828,39.981188
174,The Wistar Institute,-75.1958788,39.951189
175,University Of Arizona,-112.0636789,33.4520517
176,University Of Cologne,6.9281745,50.9280389
177,University Of Hong Kong,114.138455,22.2826975
178,University Of Milan,9.1887087,45.4497194
179,University Of South Florida,-82.4138362,28.0599999
180,Wuhan University,114.3599195,30.5398018
181,Aix Marseille Universite,5.357821,43.2935235
182,Autonomous University Of Barcelona,2,41.66667
183,Beckman Research Institute Of City Of Hope,-121.44144,49.38299
184,Ghent University,3.7108811,51.0079473
185,Keio University,139.6495838,35.5520841
186,Michigan State University,-84.477921,42.7192043
187,National Taiwan University,121.5384692,25.0168284
188,Newcastle University Uk,-1.6146802,54.980175
189,Sichuan University,103.9859532,30.7697903
190,Southern Medical University China,113.3296769,23.1901971
191,State Key Lab Oncology South China,-69.57115,44.39562
192,Tel Aviv University,34.8046101,32.1037064
193,Yonsei University,126.6618928,37.3881737
194,Childrens Hospital Colorado,-104.835535,39.7425007
195,Francis Crick Institute,-0.1287673,51.5315434
196,Genentech,-122.9287195,45.5539444
197,George Washington University,-77.0482121,38.8994972
198,La Jolla Institute For Immunology,-117.219901,32.877243
199,Leiden University,4.4596631,52.1686339
200,Leiden University Medical Center Lumc,4.4774005,52.1661989
201,Psl Research University Paris,2.3488,48.85341
202,Riken,7.8491956,47.2760208
203,Rush University,-87.6694981,41.8736438
204,Texas A M University College Station,-96.3520606,30.6108618
205,Tulane University,-90.1201009,29.9412195
206,Univ Hosp Zurich,8.7298072,47.4968435
207,Universite De Bordeaux,-0.5700867,44.83098
208,University Of Gottingen,9.932326,51.528508
209,University Of Illinois Chicago,-87.6008439,41.7913968
210,University Of Illinois Chicago Hospital,-8.43056,52.47306
211,Egyptian Knowledge Bank Ekb,75.32287,51.72371
212,Erasmus Mc,4.4680514,51.9109324
213,Erasmus University Rotterdam,4.4874986,51.9228696
214,German Center For Infection Research,145.18333,-37.7
215,Guangzhou Medical University,113.3296769,23.1901971
216,Hannover Medical School,9.7988442,52.3891653
217,Institute Of Cancer Research Uk,-0.1746106,51.4897752
218,Instituto De Salud Carlos Iii,-3.6938552,40.4759704
219,Ionis Pharmaceuticals Inc,106.27306,38.46806
220,Jinan University,35.8472876,34.409886
221,Johnson Johnson,72.9408172,19.1755061
222,Pennsylvania State University,-77.8770833,40.8110722
223,Rwth Aachen University,6.0689208,50.7791703
224,Saint Louis University,-90.2316773,38.6352837
225,Universite Cote D Azur,4.8192926,43.9495355
226,University Hospitals Of Cleveland,-81.605622,41.5060114
227,University Of British Columbia,-123.2465816,49.2583937
228,University Of Calgary,-114.1462839,51.0742329
229,University Of New South Wales Sydney,151.2251823,-33.9170154
230,University Of Oslo,10.7236839,59.9414207
231,University Of Regensburg,12.0962644,49.0030554
232,Utrecht University Medical Center,5.1741064,52.0851623
233,Ann Robert H Lurie Children S Hospital Of Chicago,-87.65005,41.85003
234,Bristol Myers Squibb,11.5482523,48.1432809
235,Brown University,-71.4012451,41.8268693
236,Capital Medical University,-73.7791922,42.6538955
237,Case Western Reserve University Hospital,-81.6007022,41.5013869
238,Hebrew University Of Jerusalem,35.244723,31.7918555
239,Hospital Clinic De Barcelona,2.1506393,41.3880618
240,Indiana University Purdue University Indianapolis,-86.15804,39.76838
241,Institute Of Molecular Cell Biology Imcb,103.7930562,1.3029208
242,Jackson Laboratory,-68.1963155,44.365255
243,Janssen Pharmaceuticals,-74.8482586,40.2926999
244,Jefferson University,-123.2775071,44.5650669
245,Max Delbruck Center For Molecular Medicine,13.3853705,52.5262592
246,Nyu Langone Medical Center,-73.9735654,40.7423026
247,Pla Second Military Medical University,-89.52536,34.36594
248,Shandong University,120.673818,36.3693473
249,Sinai Health System Toronto,-79.4163,43.70011
250,Suzhou University,120.8928798,31.4173816
251,University Of California Davis,-121.7907726,38.5336349
252,University Of Duisburg Essen,6.7843162,51.4276779
253,University Of Geneva,6.1515108,46.1935215
254,University Of Groningen,6.5625148,53.2196783
255,University Of Kansas,-95.2630888,38.9534884
256,University Of Padua,-74.0013226,40.7272282
257,University Of Tennessee Health Science Center,-90.0313529,35.1393168
258,Uppsala University,17.6376705,59.8617859
259,Air Force Military Medical University,-89.52536,34.36594
260,Benaroya Research Institute,-122.3292915,47.6100431
261,Eli Lilly,-0.6775564,51.3762416
262,Glaxosmithkline,-99.1439162,19.287676
263,Harbin Medical University,126.6372431,45.6985375
264,Heinrich Heine University Dusseldorf,6.7935167,51.1907732
265,Justus Liebig University Giessen,8.67554,50.58727
266,Kyushu University,130.553603,32.9473967
267,Laval University,-112.8630646,49.6749825
268,Nagoya University,136.9677806,35.1533086
269,Nih Clinical Center Cc,-77.1045422,39.0016448
270,Penn State Health,-79.7908679,40.4791592
271,United States Department Of Defense,-112.1111324,46.6541116
272,Universite De Strasbourg,7.7627726,48.5834746
273,University Hospital Leuven,4.6967269,50.8611279
274,University Of Alberta,-113.5244937,53.52682
275,University Of Connecticut,-72.2427754,41.8217576
276,University Of Kansas Medical Center,-94.6095395,39.0569963
277,University Of Missouri Columbia,-92.329703,38.9364147
278,Vrije Universiteit Amsterdam,4.8651965,52.3339622
279,Xi An Jiaotong University,116.336069,39.9504404
280,Aarhus University,10.2026177,56.1670905
281,Academia Sinica Taiwan,121.6141226,25.0420743
282,Army Medical University,-104.8375871,39.7451913
283,China Medical University Taiwan,120.6797618,24.1563931
284,Consiglio Nazionale Delle Ricerche Cnr,10.4220511,43.7185349
285,Eth Zurich,8.5475089,47.3773269
286,Gustave Roussy,2.3396554,48.8359658
287,Icrea,9.3205646,45.542003
288,Institut Curie,2.3435197,48.8426449
289,Kumamoto University,130.7270397,32.8164178
290,Mayo Clinic Phoenix,-111.9541567,33.6540664
291,Medimmune,0.2250858,52.1152772
292,National Taiwan University Hospital,121.5384692,25.0168284
293,Pfizer,4.3097669,51.0669817
294,United States Army,-122.5760282,45.4934387
295,Universidade De Sao Paulo,-46.7220744,-23.5597692
296,Universite De Lille,3.0746827,50.6313271
297,Universite Libre De Bruxelles,4.4369592,50.8138773
298,University Of Bern,7.4386841,46.9509726
299,University Of Birmingham,-1.9297475,52.4510477
300,University Of California Berkeley,-122.2396336,37.8753497
301,University Of Gothenburg,11.9712517,57.6985528
302,University Of Kentucky,-84.5048198,38.0270357
303,University Of Manitoba,-97.1330418,49.8091536
304,University Of Nebraska Medical Center,-95.9778423,41.256303
305,University Of Oklahoma Health Sciences Center,-97.4961201,35.4755069
306,Va Connecticut Healthcare System,-72.7147333,41.6978327
307,Va Palo Alto Health Care System,-122.1408178,37.4055537
308,Wake Forest University,-80.2781152,36.134335
309,Academic Medical Center Amsterdam,4.9565766,52.2924635
310,Cancer Research Uk,-0.3064541,51.4595386
311,Chu De Nantes,-1.5585839,47.2010438
312,Chu Lille,23.8222636,-2.9814344
313,Ecole Polytechnique Federale De Lausanne,6.5665615,46.5186594
314,Goethe University Frankfurt Hospital,-8.43056,52.47306
315,Japan Science Technology Agency Jst,-78.92197,40.32674
316,Korea University,127.0362318,37.5901411
317,Maastricht University,4.406164,50.8373469
318,Merck Company,-75.2794224,40.2202936
319,Montefiore Medical Center,1.4281588,51.3396824
320,Nanjing University,118.7740883,32.0565957
321,National Cancer Center Japan,139.767628,35.664961
322,Northwell Health,-73.4413075,40.7262969
323,Peter Maccallum Cancer Center,144.956688,-37.8002563
324,Sanofi Aventis,3.8271516,43.6213523
325,Tohoku University,140.8736593,38.2530945
326,Tsinghua University,116.320963,40.0022905
327,Ucd,-0.9401485,53.0771367
328,United States Department Of Energy Doe,-77.2552634,39.1799118
329,University Of Glasgow,-4.2892191,55.8723153
330,University Of Lubeck,10.70392,53.8344
331,University Of Ottawa,-75.6833904,45.422527
332,University Of Texas Medical Branch Galveston,-94.7765461,29.3114338
333,Us Food Drug Administration Fda,100.5275562,13.8467044
334,Walter Eliza Hall Institute,144.956099,-37.7981065
335,Western University University Of Western Ontario,-84.49983,49.25014
336,Addenbrooke S Hospital,-2.0363664,52.5737953
337,Autonomous University Of Madrid,-99.1849302,19.3216029
338,Carl Gustav Carus University Hospital,-81.98413,33.47063
339,Centro Nacional De Investigaciones Oncologicas Cnio,-3.6936852,40.4761339
340,China Medical University,120.6797618,24.1563931
341,Chu Lyon,-100.2827284,25.6171813
342,College De France,2.3461573,48.8493233
343,Dept Med,72.6575427,23.2212454
344,Garvan Institute Of Medical Research,151.2215252,-33.8791528
345,Georgetown University,-77.0745796,38.9089393
346,Georgia Institute Of Technology,-84.3988409,33.776033
347,Hiroshima University,132.7123195,34.4019766
348,Institute Of Biophysics Cas,-7.61138,33.58831
349,Jackson Lab Genom Med,39.61417,24.46861
350,Martin Luther University Halle Wittenberg,-89.16956,44.8272
351,Mcmaster University,-79.9178252,43.2639397
352,National Yang Ming Chiao Tung University,-89.52536,34.36594
353,New York Blood Center,-73.9988686,40.7177721
354,Oklahoma Medical Research Foundation,-97.4973158,35.483876
355,Philipps University Marburg,8.77069,50.80904
356,Regeneron,-73.8214837,41.0790049
357,Research Institute At Nationwide Children S Hospital,-8.43056,52.47306
358,Rigshospitalet,12.5666453,55.6965869
359,Rutgers Cancer Institute Of New Jersey,-74.44913,40.49636
360,Saint Michaels Hospital Toronto,-79.3778068,43.6536408
361,Shanghaitech University,121.5902345,31.1794305
362,Singapore Immunology Network Sign,103.7937682,1.3019927
363,St Georges University London,-0.1751861,51.4275978
364,State University Of New York Suny Stony Brook,-73.14094,40.92565
365,Technion Israel Institute Of Technology,35.0225446,32.7768128
366,Tokyo Medical University,139.7145748,35.7595187
367,Ucla Jonsson Comprehensive Cancer Center,2.16667,7.25
368,Universite De Nantes,-1.547897,47.2490787
369,Universite De Toulouse,1.440898,43.6058532
370,Universite Toulouse Iii Paul Sabatier,1.4636054,43.5603782
371,University Of Bristol,-2.6016207,51.4576128
372,University Of California Irvine,-117.8401649,33.6431901
373,University Of Cape Town,18.4675777,-33.9567559
374,University Of Kiel,10.1102582,54.3469188
375,University Of Leeds,-1.5560378,53.8066846
376,University Of Liverpool,-2.9645608,53.4045857
377,University Of Milano Bicocca,9.2073156,45.5144489
378,University Of Naples Federico Ii,25.3731,65.31735
379,University Of Turin,7.7476436,45.4173351
380,University Of Turku,22.2864359,60.4561486
381,University Of Western Australia,115.7979016,-31.9504045
382,Vrije Universiteit Brussel,4.3971254,50.8216517
383,Weizmann Institute Of Science,34.8133409,31.9078499
384,Wellcome Trust Sanger Institute,0.184669,52.0794415
385,Babraham Institute,0.2039204,52.1338603
386,Boehringer Ingelheim,-99.1129551,19.2523778
387,Children S Hospital Los Angeles,-118.24368,34.05223
388,Chu Bordeaux,135.3528644,34.732076
389,Genome Institute Of Singapore Gis,103.7925131,1.3028077
390,Guangdong Academy Of Medical Sciences Guangdong General Hospital,-8.43056,52.47306
391,Harvard School Of Dental Medicine,-71.102079,42.3362085
392,Helmholtz Center For Infection Research,10.5324645,52.2110927
393,Hospital Universitari Vall D Hebron,-84.70106,39.06589
394,Hungarian Academy Of Sciences,19.0461337,47.5012627
395,James Cook University,146.756645,-19.3289618
396,Jichi Medical University,139.8612754,36.4022786
397,Medical University Of Innsbruck,11.39454,47.26266
398,Minist Educ,-3.6910755,40.4087458
399,Nagasaki University,129.865345,32.7861999
400,National Jewish Health,-104.9423725,39.7392061
401,Royal Melbourne Hospital,144.9564033,-37.7986693
402,Rutgers State University Newark,-74.1749327,40.7407239
403,Rwth Aachen University Hospital,6.0689208,50.7791703
404,Sapienza University Rome,12.51133,41.89193
405,Seoul National University Hospital,126.998725,37.5790649
406,Stellenbosch University,18.8676656,-33.931522
407,Sungkyunkwan University Skku,126.9906264,37.5870459
408,Texas Children S Cancer Center,2.16667,7.25
409,The J David Gladstone Institutes,-122.3943473,37.7676356
410,Toronto General Hospital,-79.388158,43.6585876
411,Universita Della Svizzera Italiana,8.9581205,46.0109126
412,Universite Catholique Louvain,4.6201095,50.6682538
413,Universite Claude Bernard Lyon 1,4.8681545,45.7816645
414,University College Dublin,-6.2342858,53.3079633
415,University Of Bergen,-74.0307211,40.8980727
416,University Of Bologna,11.3558967,44.4947702
417,University Of Exeter,-3.5364767,50.7369302
418,University Of Kwazulu Natal,30.3947172,-29.6227961
419,University Of Leicester,-1.1257301,52.6244636
420,University Of Mississippi,-89.5396349,34.3646125
421,University Of Mississippi Medical Center,-90.1725206,32.3293896
422,University Of Nottingham,-1.2002957,52.9387428
423,University Of Science Technology Of China Cas,-7.61138,33.58831
424,University Of Sheffield,-1.4806602,53.3815327
425,University Of Southern Denmark,10.4280465,55.3679072
426,University Of Trento,11.350095,46.4983233
427,Virginia Commonwealth University,-77.4540586,37.5461246
428,Vita Salute San Raffaele University,-89.52536,34.36594
429,Weill Cornell Medical College Qatar,51.25,25.5
430,Zhengzhou University,113.5352664,34.8088168
431,Assistance Publique Hopitaux De Marseille,5.4075628,43.2606864
432,Austrian Academy Of Sciences,16.3975983,48.1979454
433,Boston Medical Center,-71.0746449,42.3341719
434,California Institute Of Technology,-118.1252882,34.1370138
435,Cea,-5.0127682,42.4619773
436,Chang Gung University,121.389774,25.0338385
437,Chiba University,140.1034657,35.6278693
438,Children S Mercy Hospital,-91.52848,41.66412
439,Consejo Nacional De Investigaciones Cientificas Y Tecnicas Conicet,-65.0076634,-42.7862795
440,Dalhousie University,-63.5919961,44.636201
441,East China Normal University,121.4021139,31.2284923
442,Emma Children S Hospital,-8.43056,52.47306
443,Fox Chase Cancer Center,-75.0909805,40.0712706
444,Friedrich Schiller University Of Jena,11.5899,50.92878
445,Fundacao Champalimaud,-9.2208009,38.6928557
446,Gachon University,127.1267248,37.4486992
447,Geriatric Research Education Clinical Center,2.16667,7.25
448,Harvard Med Sch,-73.93957,42.81424
449,Haukeland University Hospital,5.3590498,60.3735808
450,Henry Ford Hospital,-83.0855196,42.3678522
451,Henry M Jackson Foundation For The Advancement Of Military Medicine Inc,106.27306,38.46806
452,Institut Jules Bordet,4.2628237,50.8123475
453,Institut Pasteur Lille,3.0741821,50.6286075
454,Irccs Bambino Gesu,11.30906,44.83416
455,Irccs Ospedale San Raffaele,7.86374,45.15407
456,Jesse Brown Va Medical Center,-87.6777751,41.8702667
457,Juntendo University,139.7607191,35.7022674
458,King Faisal Specialist Hospital Research Center,39.1484778,21.5590946
459,Kyungpook National University,128.6108553,35.8905697
460,Leipzig University,12.3735652,51.3131269
461,Linkoping University,15.5754544,58.3977911
462,Marmara University,29.0529077,40.9872715
463,National Center For Child Health Development Japan,139.75309,35.68536
464,National Cerebral Cardiovascular Center Japan,135.5412376,34.7793671
465,National Institutes Of Natural Sciences Nins Japan,139.75309,35.68536
466,Netherlands Cancer Institute,4.8253264,52.3494454
467,Northeastern University,-71.0879129,42.3390301
468,Odense University Hospital,10.3641158,55.3855986
469,Ottawa Hospital Research Institute,-75.6207338,45.4427324
470,Pompeu Fabra University,-89.52536,34.36594
471,Rabin Medical Center,34.8796834,32.2621158
472,Rady Childrens Hospital San Diego,-117.1521134,32.7982304
473,Robert H Lurie Comprehensive Cancer Center,2.16667,7.25
474,Saint James S University Hospital,-81.98413,33.47063
475,Semmelweis University,19.0730579,47.4816845
476,State University Of New York Suny Buffalo,-78.87837,42.88645
477,Taipei Veterans General Hospital,121.5197219,25.1210087
478,Texas A M Health Science Center,2.16667,7.25
479,Texas Biomedical Research Institute,-98.6382108,29.4376941
480,Tokyo University Of Science,139.7426558,35.6995942
481,Tongji University,121.4969491,31.2847393
482,Univ Hosp,-98.5780943,29.5078264
483,Univ Paris,2.3468101,48.8414596
484,Universidade De Lisboa,-9.1510132,38.7180604
485,Universite D Angers,-0.6029146,47.4795481
486,Universite De Versailles Saint Quentin En Yvelines,2.01891,48.77186
487,University Of California Los Angeles Medical Center,-118.4468497,34.0708781
488,University Of Florence,35.8514255,32.5409291
489,University Of Georgia,-83.373049,33.9404278
490,University Of Liege,5.5623209,50.6370803
491,University Of Louisville,-85.7577075,38.2133223
492,University Of New Mexico,-106.6202094,35.0866327
493,University Of Notre Dame,-86.2382203,41.7045677
494,University Of Tsukuba,140.1006602,36.1070526
495,University Of Vermont,-73.1941468,44.4737365
496,University Of Veterinary Medicine Vienna,16.4304238,48.2548154
497,Wayne State University,-83.0709498,42.3572051
498,Wilhelmina Kinderziekenhuis,5.181604,52.0896546
499,Xiamen University,118.0930178,24.4399419
500,Agios Pharmaceuticals,-71.1006729,42.3615749
501,Al Sabah Hospital,47.9040688,29.3260998
502,All India Institute Of Medical Sciences Aiims New Delhi,77.22445,28.63576
503,American University Of Beirut,35.4823838,33.9000264
504,Aristotle University Of Thessaloniki,22.9588935,40.6298415
505,Baylor Scott White Health,-97.8752448,30.0277772
506,Bill Melinda Gates Foundation,-122.3461859,47.6232397
507,Biogen,-71.0851311,42.3664698
508,Catholic University Of Korea,127.004794,37.5854724
509,Chang Gung Memorial Hospital,121.3707965,25.0604744
510,Children S Hospital Research Institute Of Manitoba,-97.00049,55.00019
511,Chongqing Medical University,106.5048127,29.535582
512,Chonnam National University,126.9068963,35.1769024
513,Chu De Montpellier,3.865917,43.6287746
514,Chu De Toulouse,6.7939436,51.2469191
515,Chu Rennes,-1.6948572,48.1207424
516,Chu Strasbourg,7.7122798,48.5874473
517,Chungnam National University,127.3448092,36.3702471
518,Cliniques Universitaires Saint Luc,4.4555361,50.851809
519,Dartmouth College,-72.2905229,43.7052673
520,Department Of Biotechnology Dbt India,79,22
521,Drexel University,-75.1902666,39.9574
522,East Carolina University,-80.2506497,36.0882013
523,Fondazione Irccs Istituto Nazionale Tumori Milan,9.2301947,45.4795585
524,Forschungszentrum Borstel,9.81667,53.68333
525,Foundation Medicine,-71.0462987,42.3489242
526,Fujian Medical University,119.1823599,26.0736608
527,Georgia State University,-84.3881922,33.7547613
528,German Ctr Diabet Res,-58.98389,-27.46056
529,Gilead Sciences,2.2337316,48.8260467
530,Griffith University,153.0642922,-27.546625
531,Hacettepe University,32.7354752,39.867446
532,Hadassah University Medical Center,34.9884328,32.7851365
533,Hanyang University,127.0436642,37.5557271
534,Heinrich Heine University Dusseldorf Hospital,6.7935167,51.1907732
535,Helsinki University Central Hospital,-8.43056,52.47306
536,Hokkaido University,141.3377295,43.0790078
537,Iowa City Va Health Care System,-91.5477587,41.6638173
538,Istanbul University,28.9637609,41.0132424
539,Jagiellonian University,19.9305134,50.0605502
540,James J Peters Va Medical Center,-76.3054313,36.8584027
541,Kaiser Permanente,-117.1664531,33.5243364
542,Kanazawa University,139.6179232,35.3332834
543,Kirby Institute,-83.0660396,42.3617503
544,Korea Institute Of Science Technology Kist,9.84389,49.74278
545,Kuwait University,48.0833926,29.344252
546,Liverpool School Of Tropical Medicine,-2.969511,53.4086914
547,London School Of Hygiene Tropical Medicine,-0.1303714,51.5209537
548,Louis Stokes Cleveland Veterans Affairs Medical Center,-76.3054313,36.8584027
549,Loyola University Chicago,-87.6573704,41.9991492
550,Ludwig Boltzmann Institute,16.36574,48.286743
551,Ludwig Institute For Cancer Research,145.18333,-37.7
552,Maine Medical Center,-70.2762545,43.6531775
553,Medical University Of Graz,15.4688534,47.0811932
